"bnum","int","cit","fsta","aktk","bed","aktf","aeda","uhr","mvnr","lfnr","ndat","nuhr","oaid","_hoodie_commit_time","sys_shard"
"734994071","15222612","162","0","12213","9000046363","LOE","2023-05-16 00:00:00.000","93026","0","140.0","2023-05-16 00:00:00.000","93028","0","20230707135908","78"
"721278705","15222612","11","4","6","8880888","LOE","2023-02-24 00:00:00.000","165049","5555555555","2.0","2023-02-24 00:00:00.000","165049","0","20230707135908","59"
"731029091","15222612","364","99","7129","9000045630","FER","2023-04-24 00:00:00.000","174846","0","93.0","2023-04-24 00:00:00.000","174846","0","20230707135908","29"
"734247607","15222612","162","1","10598","8880888","FER","2023-05-12 00:00:00.000","94507","9494081902","132.0","2023-05-12 00:00:00.000","94507","1030943620","20230707135908","45"
"730368158","15222612","364","0","6418","16493","OUT","2023-04-21 00:00:00.000","75723","9493479448","88.0","2023-04-21 00:00:00.000","75723","1030222000","20230707135908","54"
"731203421","15222612","364","11","7506","8880888","WCR","2023-04-25 00:00:00.000","170024","9493598869","96.0","2023-04-25 00:00:00.000","170024","1028704362","20230707135908","70"
"732467076","15222612","10","99","8456","9000024429","FER","2023-05-02 00:00:00.000","160655","0","115.0","2023-05-02 00:00:00.000","160655","0","20230707135908","23"
"730359972","15222612","364","11","6418","8880888","WCR","2023-04-21 00:00:00.000","70352","9493394628","84.0","2023-04-21 00:00:00.000","70352","1029223308","20230707135908","27"
"730352777","15222612","364","10","5609","9000031277","ANG","2023-04-20 00:00:00.000","235800","0","83.0","2023-04-20 00:00:00.000","235800","0","20230707135908","79"
"732467597","15222612","10","1","8456","9000024429","FER","2023-05-02 00:00:00.000","160936","0","116.0","2023-05-02 00:00:00.000","160936","0","20230707135908","17"
"731029238","15222612","364","0","7129","9000045630","OUT","2023-04-24 00:00:00.000","174924","9493598869","94.0","2023-04-24 00:00:00.000","174924","1028704362","20230707135908","45"
"731451605","15222612","364","9","7506","9000031277","ZCO","2023-04-26 00:00:00.000","194500","0","102.0","2023-04-26 00:00:00.000","194500","0","20230707135908","65"
"723058183","15222612","2430","0","1439","94230","OUT","2023-03-08 00:00:00.000","80727","9492192937","32.0","2023-03-08 00:00:00.000","80727","1028390106","20230707135908","61"
"735146041","15222612","1269","0","12216","9000031277","OUT","2023-05-17 00:00:00.000","64211","9494362399","144.0","2023-05-17 00:00:00.000","64211","1030616853","20230707135908","56"
"722015830","15222612","11","1","534","9000046365","FER","2023-03-01 00:00:00.000","150048","0","10.0","2023-03-01 00:00:00.000","150048","0","20230707135908","55"
"726529491","15222612","364","99","3699","9000010675","FER","2023-03-29 00:00:00.000","155756","0","73.0","2023-03-29 00:00:00.000","155756","0","20230707135908","77"
"731212094","15222612","364","1","7506","8880888","FER","2023-04-25 00:00:00.000","174919","9493598869","98.0","2023-04-25 00:00:00.000","174919","1028704362","20230707135908","29"
"731511973","15222612","364","11","7780","8880888","WCR","2023-04-27 00:00:00.000","121912","9493644211","103.0","2023-04-27 00:00:00.000","121912","1029821002","20230707135908","10"
"735145938","15222612","1269","99","12216","9000031277","FER","2023-05-17 00:00:00.000","64040","0","143.0","2023-05-17 00:00:00.000","64040","0","20230707135908","86"
"723047749","15222612","2430","10","1271","94233","ANG","2023-03-08 00:00:00.000","53936","0","27.0","2023-03-08 00:00:00.000","53936","0","20230707135908","10"
"729737122","15222612","364","0","3699","9000010675","LOE","2023-04-17 00:00:00.000","173351","0","76.0","2023-04-17 00:00:00.000","173353","0","20230707135908","17"
"726097037","15222612","2097","99","3078","98125","FER","2023-03-27 00:00:00.000","90939","0","59.0","2023-03-27 00:00:00.000","90939","0","20230707135908","17"
"734270793","15222612","162","99","10598","10012131","FER","2023-05-12 00:00:00.000","112558","0","133.0","2023-05-12 00:00:00.000","112558","0","20230707135908","71"
"725803630","15222612","2430","0","2972","94233","OUT","2023-03-25 00:00:00.000","90631","9492652964","55.0","2023-03-25 00:00:00.000","90631","0","20230707135908","87"
"734990839","15222612","162","4","12213","8880888","IN","2023-05-16 00:00:00.000","91252","9494204959","137.0","2023-05-16 00:00:00.000","91252","0","20230707135908","76"
"733636343","15222612","162","4","9475","10012131","IN","2023-05-09 00:00:00.000","55000","9494050898","125.0","2023-05-09 00:00:00.000","55105","0","20230707135908","78"
"731271604","15222612","364","99","7506","9000031277","FER","2023-04-26 00:00:00.000","54257","0","99.0","2023-04-26 00:00:00.000","54257","0","20230707135908","43"
"733645440","15222612","162","0","9475","10012131","OUT","2023-05-09 00:00:00.000","73744","9494081902","128.0","2023-05-09 00:00:00.000","73744","1030943620","20230707135908","67"
"731199559","15222612","364","10","7129","9000048169","ANG","2023-04-25 00:00:00.000","163825","0","95.0","2023-04-25 00:00:00.000","163825","0","20230707135908","71"
"731029055","15222612","364","1","7129","8880888","FER","2023-04-24 00:00:00.000","174838","9493479448","92.0","2023-04-24 00:00:00.000","174838","1030222000","20230707135908","79"
"732467723","15222612","10","99","8456","9000024429","FER","2023-05-02 00:00:00.000","161008","0","117.0","2023-05-02 00:00:00.000","161008","0","20230707135908","30"
"735077319","15222612","1269","4","12216","8880888","WCR","2023-05-16 00:00:00.000","172715","9494334739","141.0","2023-05-16 00:00:00.000","172715","1031420999","20230707135908","48"
"722155117","15222612","45369","4","701","98041","IN","2023-03-01 00:00:00.000","204000","9492019330","16.0","2023-03-02 00:00:00.000","130727","0","20230707135908","83"
"726445683","15222612","2097","10","3078","98125","ANG","2023-03-28 00:00:00.000","170000","0","61.0","2023-03-28 00:00:00.000","170000","0","20230707135908","88"
"726075987","15222612","2097","4","3078","8880888","WCR","2023-03-27 00:00:00.000","74254","9492652964","57.0","2023-03-27 00:00:00.000","74254","1029139515","20230707135908","77"
"734233250","15222612","162","4","10598","8880888","IN","2023-05-12 00:00:00.000","84036","9494081902","131.0","2023-05-12 00:00:00.000","84036","0","20230707135908","82"
"723057904","15222612","2430","3","0","94230","BLO","2023-03-08 00:00:00.000","80539","0","31.0","2023-03-08 00:00:00.000","80540","0","20230707135908","2"
"724894374","15222612","2430","0","2044","94233","OUT","2023-03-20 00:00:00.000","71452","9492495289","50.0","2023-03-20 00:00:00.000","71452","1028711504","20230707135908","53"
"726070579","15222612","2097","10","2972","98125","ANG","2023-03-27 00:00:00.000","71256","0","56.0","2023-03-27 00:00:00.000","71256","0","20230707135908","12"
"715058360","15222612","0","4","6","12130","LOE","2023-01-12 00:00:00.000","102355","0","1.0","2023-01-12 00:00:00.000","102355","0","20230707135908","27"
"732466407","15222612","10","4","8456","8880888","IN","2023-05-02 00:00:00.000","160337","9493743858","113.0","2023-05-02 00:00:00.000","160337","0","20230707135908","24"
"724655447","15222612","2430","11","2044","8880888","WCR","2023-03-18 00:00:00.000","102141","9024218152","46.0","2023-03-18 00:00:00.000","102141","1028396622","20230707135908","78"
"731515601","15222612","364","0","7780","9000010675","OUT","2023-04-27 00:00:00.000","123808","9493687187","106.0","2023-04-27 00:00:00.000","123808","0","20230707135908","40"
"729910659","15222612","364","3","5609","9000045630","BLO","2023-04-18 00:00:00.000","165611","0","81.0","2023-04-18 00:00:00.000","165611","0","20230707135908","8"
"723957559","15222612","2430","0","0","94233","OUT","2023-03-14 00:00:00.000","85639","9024218152","44.0","2023-03-14 00:00:00.000","85639","0","20230707135908","33"
"731009943","15222612","364","10","6418","9000045630","ANG","2023-04-24 00:00:00.000","161803","0","89.0","2023-04-24 00:00:00.000","161803","0","20230707135908","77"
"726097508","15222612","2097","0","3078","98125","OUT","2023-03-27 00:00:00.000","91135","9492701690","60.0","2023-03-27 00:00:00.000","91135","1028968561","20230707135908","28"
"722048105","15222612","11","99","534","9000024679","FER","2023-03-01 00:00:00.000","182143","0","11.0","2023-03-01 00:00:00.000","182143","0","20230707135908","41"
"734211407","15222612","162","11","10598","8880888","WCR","2023-05-12 00:00:00.000","60828","9494081902","130.0","2023-05-12 00:00:00.000","60828","1030943620","20230707135908","0"
"722147723","15222612","45369","4","701","8880888","IN","2023-03-02 00:00:00.000","121940","9492019330","15.0","2023-03-02 00:00:00.000","121940","0","20230707135908","56"
"733636409","15222612","162","3","9475","10012131","BLO","2023-05-09 00:00:00.000","55252","0","127.0","2023-05-09 00:00:00.000","55252","0","20230707135908","87"
"730360287","15222612","364","4","6418","8880888","IN","2023-04-21 00:00:00.000","70626","9493394628","85.0","2023-04-21 00:00:00.000","70626","0","20230707135908","87"
"733474914","15222612","10","0","9468","9000037297","OUT","2023-05-08 00:00:00.000","102025","9494050898","123.0","2023-05-08 00:00:00.000","102025","0","20230707135908","84"
"723457938","15222612","2430","99","1910","94233","FER","2023-03-11 00:00:00.000","95811","0","39.0","2023-03-11 00:00:00.000","95811","0","20230707135908","10"
